no,kode_pos,kode_wilayah,prov_code,kab_code,kec_code,desa_code,full_code,is_kelurahan,is_desa,desa,kecamatan,dt2,kabupaten,provinsi,source_page
45659,23355,11.06.02.2005,11,06,02,2005,1106022005,0,1,Lamgaboh (Lam Gaboh),Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45660,23355,11.06.02.2004,11,06,02,2004,1106022004,0,1,Lamkrut (Lam Kruet),Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45661,23355,11.06.02.2015,11,06,02,2015,1106022015,0,1,Lampaya,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45662,23355,11.06.02.2021,11,06,02,2021,1106022021,0,1,Meunasah Baro Lamlhom,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45663,23355,11.06.02.2024,11,06,02,2024,1106022024,0,1,Meunasah Belee (Meunasah Balee Lamlhom),Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45664,23355,11.06.02.2022,11,06,02,2022,1106022022,0,1,Meunasah Beutong,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45665,23355,11.06.02.2028,11,06,02,2028,1106022028,0,1,Meunasah Blang,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45666,23355,11.06.02.2027,11,06,02,2027,1106022027,0,1,Meunasah Cut,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45667,23355,11.06.02.2025,11,06,02,2025,1106022025,0,1,Meunasah Karieng,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45668,23355,11.06.02.2019,11,06,02,2019,1106022019,0,1,Meunasah Lam Girek,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45669,23355,11.06.02.2020,11,06,02,2020,1106022020,0,1,Meunasah Lambaro (Meunasah Baro Lam Puuk),Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45670,23355,11.06.02.2018,11,06,02,2018,1106022018,0,1,Meunasah Manyang,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45671,23355,11.06.02.2016,11,06,02,2016,1106022016,0,1,Meunasah Mesjid Lamlhom,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45672,23355,11.06.02.2017,11,06,02,2017,1106022017,0,1,Meunasah Mon Cut,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45673,23355,11.06.02.2023,11,06,02,2023,1106022023,0,1,Mns. Mesjid Lampuuk,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45674,23355,11.06.02.2001,11,06,02,2001,1106022001,0,1,Mon Ikeun,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45675,23355,11.06.02.2014,11,06,02,2014,1106022014,0,1,Naga Umbang,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45676,23355,11.06.02.2002,11,06,02,2002,1106022002,0,1,Nusa,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45677,23355,11.06.02.2012,11,06,02,2012,1106022012,0,1,Seubun Ayon,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45678,23355,11.06.02.2011,11,06,02,2011,1106022011,0,1,Seubun Keutapang,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45679,23355,11.06.02.2009,11,06,02,2009,1106022009,0,1,Tanjong,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
